title,price_text,price_value,availability,link,collection
Amber & Musc,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/amber-musc,Mikhmariyat
Orchidée,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/orchidee,Mikhmariyat
Soft women,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/soft-women,Mikhmariyat
Fruit rouge,77.00 Dhs,77.0,Épuisé,https://mysweetyskin.ma/products/fruit-rouge,Mikhmariyat
Oud kambodi,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/oud-kambodi,Mikhmariyat
Vanille & Miel,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/vanille-miel,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/musc-al-roman,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/bacarat-rouge-musc,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/musc-atahara,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/soft-musc,Mikhmariyat
Musc al roman,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/musc-al-roman,Mikhmariyat
Bacarat rouge musc,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/bacarat-rouge-musc,Mikhmariyat
Musc tahara,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/musc-atahara,Mikhmariyat
Soft musc,105.00 Dhs,105.0,Vente,https://mysweetyskin.ma/products/soft-musc,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/musc-al-roman,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/bacarat-rouge-musc,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/musc-atahara,Mikhmariyat
,,,Inconnu,https://mysweetyskin.ma/products/soft-musc,Mikhmariyat
Fleur d'oranger,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/fleur-doranger,Mikhmariyat
Tropical,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/tropical,Mikhmariyat
Caramel love,77.00 Dhs,77.0,Épuisé,https://mysweetyskin.ma/products/caramel-love,Mikhmariyat
La vie est belle,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/la-vie-est-belle,Mikhmariyat
Manifesto,77.00 Dhs,77.0,Vente,https://mysweetyskin.ma/products/manifesto-1,Mikhmariyat
